2452104.87278 20.489 0.143 4.92 526.0
2452112.91310 20.817 0.251 5.42 676.0
2452116.91702 20.498 0.178 5.63 536.0
2452117.87540 20.686 0.191 5.33 524.0
2452122.85706 20.354 0.207 5.46 1150.0
2452123.87100 20.417 0.174 4.01 1218.0
2452128.87091 20.521 0.277 5.82 1083.0
2452130.80969 20.640 0.189 4.23 987.0
2452131.80271 20.696 0.243 5.61 702.0
2452133.85849 20.592 0.257 5.96 740.0
2452135.88740 20.234 0.140 4.57 864.0
2452136.89375 20.172 0.197 6.17 851.0
2452138.73227 20.240 0.183 7.56 424.0
2452141.76669 20.323 0.225 6.44 857.0
2452142.86349 20.442 0.186 4.49 1048.0
2452143.86408 20.581 0.196 3.99 904.0
2452144.79191 21.124 0.245 4.52 455.0
2452156.71706 20.431 0.204 5.95 696.0
2452160.79627 20.521 0.192 5.84 492.0
2452162.80662 20.536 0.171 5.53 421.0
2452165.79408 21.012 0.290 5.99 455.0
2452166.79744 20.453 0.140 4.92 464.0
2452167.73069 20.537 0.181 5.37 557.0
2452168.75525 20.306 0.152 6.10 452.0
2452172.79356 20.791 0.222 4.78 612.0
2452172.81303 20.369 0.135 4.37 603.0
2452173.74958 20.332 0.137 4.90 542.0
2452174.73333 20.923 0.181 4.21 454.0
2452177.68143 20.723 0.207 5.06 616.0
2452184.74276 20.574 0.279 6.33 820.0
2452185.70619 20.441 0.247 6.17 882.0
2452190.73273 20.763 0.263 5.71 710.0
2452192.70142 20.663 0.130 3.96 452.0
2452193.72234 20.464 0.128 3.71 560.0
2452194.69344 20.661 0.198 4.80 571.0
2452203.59609 20.542 0.213 5.97 632.0
2452206.64580 20.300 0.193 5.64 860.0
2452211.69781 20.802 0.249 4.88 785.0
2452219.71656 20.409 0.195 5.18 837.0
2452222.76587 20.480 0.265 6.92 726.0
2452223.67096 20.719 0.289 4.86 1195.0
2452225.63517 20.440 0.156 4.12 787.0
2452228.59688 20.333 0.164 5.19 744.0
2452232.54798 20.640 0.197 4.38 831.0
2452234.58999 20.427 0.142 3.58 794.0
2452236.57925 20.446 0.172 4.25 868.0
2452241.57156 20.450 0.206 4.90 925.0
2452243.60994 20.593 0.216 4.42 970.0
2452249.56609 20.580 0.159 4.30 577.0
2452251.61618 20.224 0.132 4.78 624.0
2452256.59116 20.239 0.182 5.69 786.0
2452259.61205 20.603 0.184 4.62 604.0
2452262.61853 20.385 0.224 5.99 723.0
2452264.60646 20.806 0.272 5.02 822.0
